,review,sentiment
6864,"Personally, I think the movie is pretty good. It almost rates an 8. I liked the ethnography aspect as well as the gorgeous photography. Colin Firth's character isn't the most likable but he does a better than decent job with the role. The heroine, played by the beautiful Nia Long, is a familiar film heroine in that she's trying to do what she thinks is the best for her child -- marrying a respected member of her expatriate community -- while fighting her attraction for the ""bad"" man -- one who's not a member of her community (the ""outsider""). Most of the film is about this mother's struggle: should she do what's expected of her, what she thinks is best for her son or should she follow her heart? I don't want to give away the ending. Let me just say that it's a feel-good movie with gorgeous location shots, exquisite African dress (it's worth seeing the film just for the women's brilliantly colored African clothing and headdresses), and likable characters overall. The actor who plays Nia Long's son is bright and adorable. The plot is a bit formulaic, but I liked the movie nonetheless. If you're a Colin Firth fan you MUST see this film. If you like chic flicks, see it. I think I'll watch it again tonight!",positive
14804,"First let me say that I am not a Dukes fan, but after this movie the series looked like Law and Order. The worst thing was the casting of Roscoe and Boss Hogg. Burt Reynolds is not Boss Hogg, and even worse was M.C. Gainey as Roscoe, If they ever watched the show Roscoe was not a hard ass cop. He was more a Barney Fife than the role he played in this movie.<br /><br />The movie is loaded with the usual errors, cars getting torn up, and continues like nothing happened. The worst example of this is when the the General gets together with Billy Prickett, and the General is ran into a dirt hill obviously slowing to a near stop, but goes on to win the race.",negative
45274,"This work is pretty atmospheric, with a couple of surprises a few really creepy elements. I found this work more rewarding than I first expected, given the rotten reviews this receives here at IMDb. The dialog comes across as natural and honest (given the circumstances), although the overall run of the film goes from predictable to cliché with the heroines falling down when they should be running, and investigating strange noises when they should be locking their doors. Typical horror movie fare.<br /><br />The local characters are some of the worst clichés, depicting Appalachian natives as in-bred developmentally challenged freaks. The characters of the children and the principals are GREAT! The development given is adequate, and Scout Taylor-Compton seems to be developing her talents quite well.<br /><br />Now, I'm not going to say that this is entirely original or the best thing since sliced bread (which isn't all that great by the way), but this IS interesting and I do not long for my 107 minutes back. I would not say this is an awesome movie by any means, but there are some really good horror elements herein. But there are also some really slow spots where plot/character development seem superfluous to the director's (or the film editor's) whim.<br /><br />All in all, this is good for a rainy night, but not so good for a Friday/Saturday night's viewing.<br /><br />It rates a 7.6/10 from...<br /><br />the Fiend :.",positive
23836,"Boring, utterly predictable soap opera. Mary Tyler Moore is married to Ted Danson who's having an affair with Christine Lahti. Moore is friends with Lahti and doesn't know about the cheating. Danson dies in an accident and Lahti is pregnant with his baby. YAWN! <br /><br />I'm ashamed to admit I paid money to see this in a theatre in 1986. I liked all three stars but even their considerable talents couldn't pull this off. I CONSTANTLY knew what was going to happen. Like another poster said--this plays like a PG-rated Lifetime movie.<br /><br />It does have Lahti swearing nonstop at one point and even Moore lets loose once! Also there's a pointless shots of topless women playing football (!!!). Other than that it's TV friendly. The only good thing about this was Timothy Gibbs playing Moore and Danson's teenage son. Very handsome and quite a good actor. That aside there's nothing to recommend this. You've seen it before...and done better. It's obviously been forgotten. Skip it.",negative
13798,"Although others have commented that this video is just an edited version of the two shows: ""Fire in Space"" and ""Living Legend"", if you watch the original shows you'll find that dialogue from this video edition was edited out. I found this video version much better because scenes and lines were added to it. I would say if you want to see the show in its original version, see the video versions on VHS. They have more to offer the fan than the original episodes being offered on DVD now. Another good video is Conquest for the Earth, which had more scenes from Galactica 1980 than did the actual broadcasts themselves. Overall, I rate this as a 10 because it gives you more to enjoy than what the networks wanted to show in the time slot they gave the producers.",positive
24142,"Jean-Jacques' career began with his essay answer to a prize question: civilization makes us evil. This intelligent and exciting movie supports that argument. In that sense it repeats a theme common to French films: society is real, identity is a construction, freedom is criminal. Here the idea is treated literally. Both main characters find themselves, and each other, only when breaking rules. This discovery may well hold true in France; at any rate, it's quite romantic.",positive
46146,"The Bridge At Remagen contains some of the most preposterous war time screenplay I've ever seen. Aside from the acting, which is wooden, no tank commander attacks with his tanks parked in nice neat rows, up the middle of roads, and with troops bunched all together with their arms not at the ready. The constant suicidal behavior set off my ""tilt switch"" so often I found it impossible to enjoy the movie. Apparently the screen writers and director have never been through actual warfare and never bothered to bring in an expert who had. This movie is the very antithesis of the excellent detail in Saving Private Ryan. Unless you are under 7 years old, I recommend watching something else.<br /><br />GB",negative
6268,"Why was this movie made? Are producers so easily fooled by sadists that they'll give them money to create torture methods such as this so called ""film""? I love a bad movie as much as the next masochist, but ""Cave Dwellers"" is pushing it. It's seriously physically painful to watch. The plot is something about a dude name Ator - a buffed-up numbnuts whom I will refer to as Private Snowball for the rest of this review - who has to fight invisible warriors and rescue a princess in order to beat the bad guy who needs to find a better hair stylist. I might have gotten the plot wrong since it's been a while since I watched this excrement, but really, do you care that much? Oh yeah, Private Snowball also has a mute Asian sidekick (who hasn't?). Who's not funny.<br /><br />Anyway, Private Snowball fights invisible people, visits some caves, all in the name of a good king so personality-free he makes Al Gore look like Jim Carrey. Then Private Snowball builds a hang-glider (yes, I'm serious) and gets the girl. Yippie-kee-yay. It's cheap, unintentionally silly, and mind-numbingly dull. Why am I not surprised that the director ended up making porn?<br /><br />Bottom line: AVOID. Ator will steal a part of your life and you will have no funny ""so-bad-they're-good"" catchphrases to take with you from the experience. Bad Ator! BAD! Aak! *gags*",negative
27764,"This is a rip off of the old Frankenstein premise. An acclaimed scientist is killed in a freakish accident and his father, a noted brain surgeon saves the brain. It is then put into a robotic body of his own design. His brother, an electrical genius, gives the 'colossus' impetus to transfer thoughts into motion. The whole project goes bad, when the creation goes berserk.<br /><br />Special effects are undeveloped. The script is lacking. And it is humorous that this is not scary a bit. Well, very small kids will think this is good. If you are wide awake at three in the morning and this comes on....night, night.<br /><br />The lead characters are played by Otto Kruger, John Baragrey and Ross Martin. Ed Wolff played the 'Colossus'.",negative
29320,"since the plot like Vertigo or Brian DePalma's Obsession, till to the score by Peter Chase that reminds the sounds of Bernard Herrmann, this little pearl seems to be sight from fews. Remarkable playing by Romane Boeringer and Vincent Cassel in a bohemian Paris portrayed from the famous Thierry Arbogast. A little cult! It is a pity that the only version available on DVD are the french one and the English. Directed by a controversial artist as Gilles Mimouni, it could be considered a little homage to the Cinema masterworks. It is a french movie, and as all of them, not for all, we could say a d'essai cinema. Even if not so publicized, it could be remembered for several reason.",positive
33262,"The worst thing about Crush is not that it's acted pretty bad, or that the plot is virtually non-existent, and it's not even that bad that the camerawork could have been better.<br /><br />No, the worst part of this movie is that it has a few absolutely brilliant moments that keep you hoping that there are more to come.<br /><br />But in the end, it's too little, too late. If you are a fan of violin-music and cheap tearjerking scenes of 40+ women crying and hugging and talking about babies and marriage - then by all means, don't miss it.<br /><br />I myself am not exactly thrilled to see the things listed above in a movie, and as a result I had a pretty horrible time. The few absolutely brilliant jokes can not make up for the rest of it.<br /><br />The verdict: 4/10. Guilty of wasting my time.<br /><br />",negative
29461,"...I saw this movie when it first came out in France, in my hometown, 54 years ago, I was nine, and today I still remember each black and white frame, especially the black ones, because it was so tense, scary, those sneaking attacks through that dark pass in the mountain, the two soldiers, prisoners forced to fight each other by their captors, the last battle with the uncovering of the wagon with the Gatling in it firing away, the last fight between Peck and the chief, and the Happy End which let me take back my breath. I haven't seen it since then, and I don't know if it would be a good idea to see it again today, it was such a fabulous moment for the kid I was.",positive
27304,"Shower keeps within itself in so many ways. Almost all of the movie takes place in an old- time bathhouse, with the denizens supplying the humor, pathos, and emotional touches. The love and friendship between the proprietor and his retarded son is deep and moving. The way the older brother is drawn into this tiny world seems unforced and persuasive. The plot is meandering, full of surprises and ironies, and touched overall by a sense of what I'd have to call neighborliness in the relations and conflicts of the performers. This is a film I pull out when I want to believe in the world again.",positive
5745,"I supposed I was actually expecting a Bollywood remake of ""The Fog"", from the title, but this is actually more of a Bollywood remake of ""I Know What You Did Last Summer"", with some elements of ""Scream"", kind of, sort of, and not a very good one either. Apart from a couple very entertaining song & dance numbers, this is pretty terrible. It's obviously got a decent budget & yet it's wasted on reheated leftovers that weren't that tasty to begin with. A young woman is threatened by a creepy guy to not enter a beauty contest, because he wants his sister to win (she, thankfully, doesn't look as creepy as her brother), but she enters anyway and wins, and of course the creepy guy comes after her, and is killed, after which comes a rousing game of ""hide the body"". Of course, the body disappears and no one seems to know why, but someone knows, and they're waiting for the end to reveal a ridiculous plot twist. Interspersed with all this tired rehash are a few nifty dance numbers, especially the celebratory dance number at the party for Simran, the girl who won the beauty contest...it's highly colorful, it's well done & downright fun, and utterly wasted in this terrible film. I would much rather watch an old Ramsay brothers movie than this piece of crap, although someone has deemed that these don't need to be made available, for the most part, which is a crime in itself. But not as big of a crime as this film. I took one for the team watching this one, so take my advice, don't bother. 2 out of 10.",negative
19812,"Koyaanisquatsi is simply the best film I've ever seen. It's a masterpiece where everything is at the right place. Some scenes are not ""nice"" or ""beautiful"", but the camera never peeks or intrudes. This is exactly what's happening here. The camera is used to intrude, to disgrace and to ridicule. There is no magic flow here, no sense of greatness or respect. Instead some scenes are cobbled together without greater purpose or plan. The music is disturbing. Just as I rated Koyaanisquatsi the best film ever made, this one is the worst. It's a ""pure"" movie, too, but this is the negative form, exactly that which should *not* be done.",negative
43035,"I am surprised that there is confusion over the title of this film. Quite obviously, it is an investigation into the nature of modern love. It is suggesting that love is love while the going is good, but one in which people reserve the right to put themselves first, and if the going gets tough, they get out and go onto something else.<br /><br />This observation has generational implications, as it is coming from Generation X, makes comment on Generation X, and in the end is aimed at Generation X. It expresses disappointment that love has transformed from that which the Baby Boomers, the parents of Generation X, had engendered in their marriages and family lives, and which gave Generation X the innocent and bountiful childhood it ultimately enjoyed.<br /><br />The Generation X attitude to love is, of course, flippant, but as decisions are made and commitments are broken, the biggest casualty are the children of Generation X. This is made clear at the end of the film, and was so pungent I took a week to recover from the shock I received from this epiphany.",positive
48618,"Saw this at the Hong Kong International Film Festival, over three years ago. I went in with no expectations since Christopher Nolan was a no-name at the time, but it sounded interesting and turned out to be one of the best things I saw at that festival. It worked well on the big screen, with the technique of cutting the scenes out of sequence adding to the mood. Mr.Nolan gave a good account of its making at the end, enough to put anybody off starting out as a film-maker! I liked it better than Memento although this was, perhaps, due to the lower expectations. And the fact that it was more of an art house movie.",positive
22981,"I went into this movie with an open mind. I had been too lazy to go to the video store to pick out a movie, and my friend returned with this. I promised him I wouldn't laugh at his choice, but within the first five minutes I told him I would have to take back my promise. We kept watching, just hoping it would get better, but no; a continual mind-rape followed.<br /><br />This ""movie"" was probably one of the worse ever committed to film, and surely deserves a place on the IMDb Bottom 100. I really don't know how this got distributed. The lighting was poor. I have seen better acting in elementary school plays. There is really nothing positive to say about it.",negative
15517,"I haven't seen this movie since it came out at a drive in theater, and I have been searching for it since. At the time I was 12 and the story excited me; and NOW, the ending eludes me. It was young love that engrossed me the most, not to mention John's vocals and Taupin's lyrics. The story (at the time) hit home to my psyche. I am a lover of sentimental movies and this still hangs in my head after 35 years- it is that good. Place yourself at adolescent age and let your fantasies run. If this movie didn't excite your curiosity, then you were just too old. I look forward to seeing it again (even at my age)! If nostalgia is in your venue, I'm sure this is an interesting movie to see. It's innocence is simply astounding and it's simplicity is so easy and enjoyable.",positive
46344,"Joe Don Baker is...Thomas Jefferson Geronimo, a pudgy, sweaty murderous oaf in a stupid cowboy suit that Roy Rogers would have laughed at. Somehow he still has a badge, probably because he lives in Texas and they'll let ANYTHING be law enforcement there.<br /><br />This greasy loser is a deputy sheriff near the Texas border. Not surprisingly, he was once a Texas Ranger but got kicked out because he seemed to think that the law was his own personal bouncing ball to be played with at his discretion. This includes shooting suspects who are over the international border into Mexico, beating up on suspects, cheating in gun fights, threatening women, starting gunfights that could have been avoided AND managing to get the life of a child threatened in the process, letting women he promised he would help and protect get killed just so that he could get out of jail, etc, etc. This guy makes L.A. cops look like saints in comparison.<br /><br />When his partner is killed by a pair of wandering Italian assassins, Joe Don's character hunts them down and kills one of them. Then he takes the other to Italy at the behest of a Mr. Wilson, who rightly thinks that Joe Don will screw up big time. In record time, he loses the Italian and gets a Maltese cabby blown up in the process. This is just the first of the many deaths and major destruction that Joe Don leaves in a trail behind him as he rampages across Malta looking for Palermo(the Italian assassin).<br /><br />Thus begins the mobius strip part of the movie, in which our hero gets arrested, lectured by the Maltese chief of police, goes out and causes more trouble, gets arrested, gets lectured by the chief of police...and so on, and so on. Until you want to blow your brains out with Joe Don's ivory handled pistol and be done with the horror.<br /><br />Joe Don proves his uselessness not just in the first time Palermo escapes, but in the subsequent boat chase in which he goes down in just one punch. Then he gets taken by Palermo after he threatens a woman with a coat hanger. You hope that Palermo will actually get to torture him in the basement cell he's put in, but no-the stripper he threatened came and got him out, because he promised to protect her. Her throat promptly gets cut(big surprise) and Joe Don escapes into the night.<br /><br />And here you hope he might have been drowned in the (yet another) boat chase. But even the ocean doesn't want him, and spits him up on a shore where he's nursed by a poor Maltese family(what did they ever do to deserve that?) he returns to the city, where he's arrested by the police, lectured by the police chief...arrrgghhh! The female police officer who's been escorting him around frees him so that they can go get Palermo. Why she would do anything so brain dead as to destroy her career for this great slob is beyond me. It's just head scratchily puzzling.<br /><br />They go out to the villa where Palermo is hiding, and start a shoot out. Joe Don blithely cheats, and kills Palermo. He then utters the great and dazzling last line of the movie: ""The big one has my badge. Can you go get it for me?"" Thank you for that immortal line, Mr. Baker. That will go down in the annals of movie history as the most literate, amazing, wondrous last line ever uttered by a character in a film. It certainly falls into line with everything else about the character. Bravo.",negative
15984,"The most accurate description of how Billy Crystal fairs in ""My Giant"" is to say that this movie is to his career as ""Ishtar"" was to Warren Beaty's - it didn't ruin it, but it slowed it down.......a lot. Crystal should know the three golden rules of Hollywood: 1) never play opposite a kid 2) never play opposite an animal 3) never play opposite someone that is almost 3 feet taller than you, is as innocent as a kid and ""acts"" like an animal.<br /><br />What is this story? A comedy? I guess, but I didn't laugh, except at the scenes where Crystal is on his own and not burdened with his (what-is-her-role-in-this-movie) ex-wife or the afore-mentioned Giant. Did I mention there's also a kid in this film? Well, forget about him. The son is brought in to make us feel sorry for Crystal, and we do, but for the actor, not the character. Billy Crystal is a funny man. If you don't believe me, watch him in old episodes of ""Soap"" or ""Saturday Night Live."" Go rent ""City Slicker"" or ""Running Scared"" or ""When Harry Met Sally.""<br /><br />""Giant"" is more ho-hum than fee-fi-fo-fum.<br /><br />",negative
1260,"Ghillie a remake of the Telugu ""okkadu' is thankfully a clarified version of the original. It packs the same punch and Dharani true to his cinematic brilliance delivers it with style and panache. A flagging Vijay's career with the entry of the likes of Surya and Vikram on the fray, got the much needed uplift with this movie. This might well prove to be the best movie Vijay has ever been on, considering the choices he has been making since then. The hard-working actor seems to have lost his bearing what with talented new entrants being accepted both by the industry and public alike.<br /><br />The tightly snug script, which runs at, a neck-break speed revolves around Velu, a willful youngster aspiring to make a mark in the game of Kabaddi( a popular game among boys in India). The events following the chance encounter with Muthupandi, his rescue of the girl in distress and how he juggles with the aspirations of his friends and his own forms the fulcrum and end of the movie. Vijay fits as a 'T' into the role and essays a subdued and believable portrayal of the boy next door.<br /><br />Trisha has more than a stereotyped Tamil heroine mantle to play. The role is far more complex than just a girl in trouble. With limited dialog's, Trisha exploits her occasional muted expressions and subtle vulnerability to add color to the role. This is a classic case of a cover page girl coming-of-age to become a professional actress. Trisha became my personal favorite after this movie.<br /><br />The movie ends on predictable lines, although one has to credit the Director for keeping the audience guessing on many things including Trisha's change in decision to leave the country. Prakash Raj deserves a word of praise for providing the perfect counter-weight for Vijay's role. His almost indomitable stature in the role of a villain and the apparent chinks in the hero's armor form a perfect ploy for keeping the audience guessing.<br /><br />Overall this is a great movie that deserves at least a single viewing. I give it a clear 8 out of 10.",positive
44487,"As an Altman fan, I'd sought out this movie for years, thinking that with such a great cast, it would have to be at least marginally brilliant.<br /><br />Big mistake.<br /><br />This is one of Altman's big-cast mishmashes, thrown together haphazardly and improvisationally (or so it feels) with the hope that it would all come together in the editing room. It doesn't.<br /><br />As Maltin points out, this turkey is notable only for the debut performance of Alfre Woodard, who outshines the vets all around her. But other than that, avoid at all costs. (Which is pretty easy to do -- it's never been released on video -- to my knowledge -- and its cable appearances have the frequency of Halley's Comet.)",negative
6100,"As much as I like big epic pictures - I'll spare you the namedropping - it's great to kick back with a few beers and a simple action flick sometimes. Films where the plot takes a backseat to the set-pieces. Films where the dialogue isn't so cleverly written that it ties itself in endless knots of purple prose. There are HUNDREDS of films that fit the bill... but in my opinion Gone In Sixty Seconds is one of the better ones.<br /><br />It's an update of the movie that shares its name. It also shares that picture's ethos, but not quite it's execution. Whatever was great about the original has been streamlined. Whatever was streamlined was also amped up thanks to a bigger budget. Often these kinds of endeavours are recipes for complete disaster - see the pug-ugly remake of The Italian Job for one that blew it - but here, thanks to a cast of mostly excellent actors, Sixty succeeds.<br /><br />The plot and much of the dialogue isn't much to write IMDb about. Often you'll have scenes where the same line of dialogue goes back and forth between the actors, each of whom will voice it with different inflections. A lot of people found this annoying; I find it raises a smile. Each actor gets a chance to show off his or her definition of style here, with Cage, Jolie and Duvall leading the pack of course (and it should be noted that it's also amusing to see Mrs Pitt not given first billing here). The chemistry between good ol' Saint Nick the stalwart (see date of review) and Angelina leads to a couple of nice moments.<br /><br />The villain is not even a little scary - I've seen Chris Eccleston play tough-guy roles before so I know he can handle them, but I think he was deliberately directed to make his role inconsequential as not to distract from the action. We know the heroes are going to succeed, somehow; we're just sitting in the car with them, enjoying the ride. I think a lot of these scenes were played with tongue so far in-cheek that it went over the heads of a lot of people giving this a poor rating. In fact, I wouldn't have minded some fourth-wall breaking winks at the camera: it's just that kind of movie.<br /><br />All this style and not so much substance - something that often exhausts my patience if not executed *just* so - would be worthless if the action wasn't there. And for the most part, it is. Wonderfully so. I've noticed that it seems to be a common trend to be using fast-cut extreme close-up shots to direct action these days. I personally find this kind of thing exhausting. I prefer movies like this where the stunts are impressive enough to not need artificial tension ramping by raping tight shots all the time. I've been told that Cage actually did as many of the car stunts as he could get away with without losing his insurance (in real life I mean - his character clearly doesn't care) and it shows. The man can really move a vehicle and this is put to good use in the slow-burning climatic finale where he drives a Mustang into the ground in the most outlandish - and FUN - way possible.<br /><br />So yes, this movie isn't an ""epic, life-affirming post-9/11 picture with obligatory social commentary"" effort. The pacing is uneven, some of the scenes could have been cut and not all the actors tow the line. But car movies rarely come better than this. So if you hate cars... why are you even reading these comments?!<br /><br />I'd take it over the numerous iterations of ""The Flaccid And The Tedious"" (guess the franchise) any day. 7/10",positive
49792,"Thirty years after its initial release, the third version of ""A Star Is Born"" finally comes to DVD in a package that should please the most devoted fans of Barbra Streisand. That would include me since I just saw her in concert singing among other numbers, the feminist anthem ""Woman in the Moon"" from this 1976 film. Easy to dismiss, the movie's career-polarizing story is such a sturdy pile of Hollywood-style clichés that variations of it exist in other films including Streisand's own ""Funny Girl"". This time reset to the then-contemporary music scene, the timeworn plot follows self-destructive rock star John Norman Howard on his deep-dive career descent just as he meets club singer Esther Hoffman who is awaiting her big break.<br /><br />Troubles dog their courtship from the outset, as John Norman (both names please) responds to grasping fans and bloodless DJs with random acts of violence (from which he inexplicably escapes prosecution). To John Norman, Esther represents his last shot at happiness, and in turn, she is drawn to the innately decent, creative musician underneath the façade. In the movie's most pivotal scene, he gives Esther her big break at a benefit concert, and her career takes off. Inevitably, he can't handle the failure of his career in light of her meteoric success, and if you are familiar with any version of this story, you know the rest. Directed by Frank Pierson (although Streisand's budding directorial talents are obviously on display), the film still manages to draw me in, even though I know it is shamelessly contrived and manipulative. It still has a certain emotional resonance despite its numerous flaws.<br /><br />Although Streisand in her prime seems like the ideal choice to play a rising singing star, her screen persona is simply too strong and predefined to play Esther credibly. The same can be said for her performing style since the script seems to make allowances for her softer Adult Contemporary-oriented material to be accepted within the otherwise hardened world of arena rock. From the moment she pops her head up as the middle of the Oreos, she can't help but come across as an established star. I can forgive the lapse simply because she is an unparalleled vocal talent, but what becomes less forgiving is how she makes Esther more strident than poignant when John Norman's woes become overwhelming. This creates an oddly discomfiting dynamic in the last part of the film when it becomes less about what caused the climactic event than Esther's response to it. This is capped off by an uninterrupted eight-minute close-up of her memorial performance - great except when she regrettably mimics John Norman's style toward the end.<br /><br />Kristofferson, on the other hand, gives a superb performance throughout, managing a level of honesty that grounds the film and makes palpable his concurrent feelings of love, pride and resentment toward Esther. He makes his vodka-soaked onstage growling work within this context. Otherwise, what always strikes me as strange about this version is how all the supporting characters are relegated to the background as if they didn't exist unless they were interacting with the two principals. The only ones who register are Paul Mazursky as John Norman's level-headed manager Brian and Gary Busey as his cynical band manager Bobbie. Veteran cameraman Robert Surtees provides a nice burnish to the cinematography though a level of graininess persists in the print. A big seller in its day, the soundtrack is a hodgepodge of different styles from the 1970's - some songs still quite good (""Everything"", ""Woman in the Moon"", ""Watch Closely Now""), some that have moved to kitsch (""Queen Bee"", Kenny Loggins' ""I Believe in Love"") and of course, the inescapable ""Evergreen"".<br /><br />The print transfer on the 2006 DVD is clean and the sound gratefully crisp thanks to digital remastering. Streisand's participation is the chief lure of the extras beginning with her feature-length commentary. She gives insightful information about the genesis of the film, the casting and the reportedly troubled production. She is also refreshingly candid about the megalomania of Jon Peters, her hairdresser boyfriend who became the movie's producer, and her dissatisfaction with Pierson as a director. I just wish she could have provided more scene-specific comments that directly relate to what is on screen. She also tends to repeat the same anecdotes when the mood strikes her, e.g., it gets tiring to hear for the third time how the person playing the chauffeur was a friend of Peters. I think having a second commentator could have drawn out other nuggets from her.<br /><br />There is a wardrobe test reel that shows some amusing 1970's clothes, especially Kristofferson's mixed-fabric poncho and orange polyester shirt. There are also twelve deleted scenes included with Streisand's optional commentary. One is a comic bread-baking scene which reminded me how much I like Streisand in farcical comedies. Another is an extended scene in which she plays ""Evergreen"" on the guitar in front of an awestruck Kristofferson who then falls asleep. The most interesting is an alternate take on the musical finale incorporating fast cuts, which I agree with Streisand should have been used. Fittingly, the theatrical trailers for all three versions of ""A Star Is Born"" are also included.",positive
13351,"The over-riding problem with this film is that it can't possibly use Bill Murray to the best of his abilities, simply because of the co-star.<br /><br />If this was a road movie with another comedic actor, it might work. Even if they were both trying to get the elephant across the country, it would at least allow for them to share some amusing dialogue. As it stands, Murray is left talking to an elephant who cannot answer back with witty banter. Essentially, it means that Murray is talking to himself, and this makes the film more boring than it could have been had he had another character to bounce off.<br /><br />Kids would enjoy this movie,simply because of the elephant, but anyone wanting to watch Bill Murray's biting delivery and enjoy an excellent script needs to look somewhere else.",negative
32708,"A repressed housewife (an annoying lisping Angie Dickinson, whose body double treats/horrifies us with an extreme closeup of her delicates) is sexually bored by her husband and decides to branch-out. This directly results in a string of murders that soon involve a high-class prostitute (Nancy Allen, clearly I am in the wrong business if SHE can bring home $600 a night) and her psychologist (Michael Caine). If you are going to watch De Palma rip off (excuse me, ""pay homage to"") Hitchcock, watch ""Sisters"" instead of this. ""Dressed to Kill,"" while loaded with style and technical skill, is one of the tackiest thrillers I have had the displeasure of sitting through. The plot is absurd and tired. It does feature some surprisingly effective jump scares and nasty graphic murder sequences that should please any horror fan, as long as they can get past the silly story line, that must have been dated even in 1980.",negative
20758,"The Bothersome Man is one of the best foreign films I have ever seen. All the technical aspects are, in my opinion, perfect (lighting, acting, directing, pacing, etc). The STORY is breathtaking.<br /><br />Seemingly beyond death, our main character finds himself inhabiting a world without beauty, passion or anything remotely pleasing to the human senses. His work is cold and uninteresting; his relationships are numb and uninspiring, and when it all becomes too much, he seeks to end it in front of a train. But it doesn't end - he can not leave this strange world by suicide! Working his way back to a man who seemed to be feeling he same isolation and loneliness, our main character joins him in excavating a stone wall in hopes of revealing the source of a strange and wonderful smell and music. Just as they break through - and I will not reveal THAT much, it all comes to an end and the movie ends as oddly as it began.<br /><br />Suffice it to say you will either love this movie or hate it. I feel that it is like a magical poem - open to many different interpretations and all of them as valid as the next. If you enjoy new experiences in film and want to be taken away from Hollywood's crap-feast, try this movie!<br /><br />9/10 (and I don't rate easily!) because in spite of its darkness, this movie left me with a sense of something greater...something mysterious and beyond ourselves. Well done!",positive
21300,"I've seen worse, which is a backhanded way of saying how crummy this film was. The plot is ridiculous: a student shoots a police officer and five more take him hostage? In a dimly-lit, smoky New York school -- and somehow this clichéd hostage situation takes 24 hours to resolve? Are you serious? A day-long hostage situation -- with a wounded NYPD officer no less, takes all day? I realize this film was made pre-9/11, but still. I looked at the clock and wondered how they could possibly drag this overdone plot on for another hour and 10 minutes.<br /><br />The acting was mediocre at best all-around, and the characters were seemingly thought up by 7th graders. The child-abuse kid, the pregnant scared girl, the violent gang wannabe, a confused unfortunate victim, the wise-cracking white guy. Please.<br /><br />Trying to make this hostage situation into a mission for ""more textbooks"" and better school conditions? Please -- this is a weak attempt to justify writing a movie about a kid who shoots a cop. They're confused, ignorant idiots who get involved in a dumb -- far-fetched -- situation. Don't try and paint them, suddenly, as noble, The most laughable is Ziggy, who lives in the school's attic and admires Michaelangelo so much so that he paints these striking scenes on the walls. You've got to be kidding me.<br /><br />The ""no racism"" signs in the protesting crowd? A black kid shoots a black cop and a black negotiator tries to patch it all up. This is a random message.<br /><br />I understand the overall message, which was poorly portrayed, albeit by some actors who have gone on to respectable careers.<br /><br />This was a joke though the red sniper lasers on the roof? The worst scene was the kid, fake snow falling, dying in the arms of his buddy on the roof, ""promise me"" etc. How original.<br /><br />The epilogue of ""I went to prison but now I'm pre-law at XYZ University"" ... a fitting way to end a joke of a movie.",negative
10647,"Unfortunately producers don't know when to leave well enough alone, or are into recycling to the point that every scrap of trash that Hollywood generates is up for rendering into Alpo. It seems that every sci-fi action adventure flick must endure a sad list of follow-up films, and Robocop is a tragic example. The first film, under Paul Verhoven's direction was a wild, stylish ride, even finding time for a little social commentary on what the dark side of bio-tech is capable of turning us into. This film has none of that, aside from maybe telling us that drugs are bad for you and could make you do things you'd regret when sober. Robocop 2 lacks the vision, the profoundly scary vision of what we are becoming, and instead clumsily takes us on a boat ride into how nauseating drug dealers and their victims really are. Social commentary be damned. This one really bit the big one for me. If you don't care for anything but the SFX, go to it, my friend. Otherwise don't waste your time with this yeastless sour cake, and preserve the first film's accurately measured, heavy-weighted pumpernickle hot out of the oven. It's that simple.",negative
13410,"This mystery/psychological-thriller is I think one of the best I've ever seen. All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star. You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself. The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating. Also the music by Mark Snow is possibly the best score I've ever heard. You won't forget this movie!",positive
30887,"Today if someone mentions the name Victor McLaglen the response most likely will be ""Who?"" or perhaps ""Why?"" Well, believe it or not, Victor McLaglen won the Academy Award for Best Actor in this film, which is about a poor, desperate man who is willing to sell out his best friend for ""carfare"" to the United States. It's an interesting movie which shows how low even the most well-meaning shnooks will go just for a few bucks. The movie takes place in British-dominated Ireland and while all the other characters are either directly or indirectly fighting for the political independence of Ireland, all Mr. McLaglen's character is concerned about is getting money and getting drunk. The movie makes one wonder whether political activism is worth all the trouble because while the activist is struggling to make a point, many others not only do not care, they don't even know what the fuss is all about. The morale of this movie is: look out for the friend, he may sell you out for a dime.",positive
